RA(deg),Dec(deg),V-Mag
268.5224999999999,-34.562916666666666,10.68
268.5249999999999,-34.79925,11.2
268.5256666666666,-34.761694444444444,8.77
268.5307083333333,-34.47977777777778,11.22
268.53120833333327,-34.615833333333335,11.19
268.53954166666665,-35.058027777777774,10.18
268.54279166666663,-34.78819444444444,10.78
268.5449166666666,-34.799527777777776,9.39
268.5522499999999,-34.64325,11.15
268.5541666666666,-34.82344444444445,7.4
268.5599083333333,-34.72763611111111,6.97
268.56912499999993,-34.56497222222222,11.13
268.59033333333326,-34.56355555555555,10.7
268.5920083333333,-34.878425,6.93
268.605125,-34.649388888888886,9.16
268.6130041666666,-34.46671111111111,6.16
268.61366666666663,-34.778305555555555,9.59
268.63374999999996,-34.75377777777778,10.81
268.63987499999996,-34.748805555555556,9.62
268.64358333333325,-34.76144444444444,11.21
268.64729166666666,-34.85755555555556,9.03
268.6522916666666,-34.56236111111111,10.57
268.6545,-34.8635,8.54
268.66070833333333,-34.93586111111111,11.0
268.6751666666666,-34.64080555555555,10.3
268.6995124999999,-34.54215277777777,7.06
268.69837499999994,-34.98436111111111,10.01
268.7199583333333,-34.751,8.41
268.75741666666664,-34.98252777777778,9.68
268.76395833333333,-34.63436111111111,10.11
268.801875,-34.83533333333334,11.39
268.826125,-34.934305555555554,10.24
268.87987499999997,-34.48166666666667,10.36
268.92041666666665,-34.50511111111111,9.37
267.75885,-35.07053333333334,7.39
267.9561458333333,-35.10214722222222,9.26
267.980125,-35.08267222222223,8.17
268.0823333333333,-34.416830555555556,5.68
268.23516666666666,-34.446025,8.93
268.2830833333333,-34.40839722222222,10.08
268.439575,-34.78602222222222,6.29
268.5952083333333,-34.42261111111111,10.16
268.7233583333333,-35.08927777777778,7.95
268.477875,-34.805388888888885,12.33
268.20916666666665,-34.621944444444445,12.3
268.1675,-34.62444444444444,11.99
268.6454166666666,-34.948611111111106,14.05
268.26333333333326,-35.117222222222225,11.57
267.94125,-34.80472222222222,13.49
268.19624999999996,-34.76861111111111,13.61
268.2075,-34.96555555555556,12.55
268.42999999999995,-35.465833333333336,12.2
268.4458333333333,-34.516666666666666,14.15
